[2018-02-06 22:01:38] Files.DEBUG:  127; Registro Insertado; pgsID:19686; Uid: 928404   
[2018-02-06 22:01:38] Files.DEBUG:  128; Registro Insertado; pgsID:19687; Uid: 928403   
[2018-02-06 22:01:38] Files.DEBUG:  129; Registro Insertado; pgsID:19688; Uid: 928402   
[2018-02-06 22:01:38] Files.DEBUG:  130; Registro Insertado; pgsID:19689; Uid: 928401   
[2018-02-06 22:01:38] Files.DEBUG:  131; Registro Insertado; pgsID:19690; Uid: 928400   
[2018-02-06 22:01:38] Files.DEBUG:  132; Registro Insertado; pgsID:19691; Uid: 928399   
[2018-02-06 22:01:38] Files.ERROR:  15; No se pudo insertar el registro; No existe el cliente en la BD; UID: 928398   
[2018-02-06 22:01:38] Files.DEBUG:  133; Registro Insertado; pgsID:19692; Uid: 928397   
[2018-02-06 22:01:38] Files.DEBUG:  134; Registro Insertado; pgsID:19693; Uid: 928396   
[2018-02-06 22:01:39] Files.DEBUG:  135; Registro Insertado; pgsID:19694; Uid: 928394   
[2018-02-06 22:01:39] Files.DEBUG:  136; Registro Insertado; pgsID:19695; Uid: 928392   
[2018-02-06 22:01:39] Files.DEBUG:  137; Registro Insertado; pgsID:19696; Uid: 928391   
[2018-02-06 22:01:39] Files.DEBUG:  138; Registro Insertado; pgsID:19697; Uid: 928387   
[2018-02-06 22:01:39] Files.DEBUG:  139; Registro Insertado; pgsID:19698; Uid: 928386   
[2018-02-06 22:01:39] Files.DEBUG:  140; Registro Insertado; pgsID:19699; Uid: 928385   
[2018-02-06 22:01:39] Files.ERROR:  16; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928384   
[2018-02-06 22:01:39] Files.DEBUG:  141; Registro Insertado; pgsID:19700; Uid: 928383   
[2018-02-06 22:01:40] Files.DEBUG:  142; Registro Insertado; pgsID:19701; Uid: 928378   
[2018-02-06 22:01:40] Files.DEBUG:  143; Registro Insertado; pgsID:19702; Uid: 928377   
[2018-02-06 22:01:40] Files.DEBUG:  144; Registro Insertado; pgsID:19703; Uid: 928376   
[2018-02-06 22:01:40] Files.DEBUG:  145; Registro Insertado; pgsID:19704; Uid: 928374   
[2018-02-06 22:01:42] Files.DEBUG:  146; Registro Insertado; pgsID:19705; Uid: 928345   
[2018-02-06 22:01:42] Files.DEBUG:  147; Registro Insertado; pgsID:19706; Uid: 928343   
[2018-02-06 22:01:42] Files.DEBUG:  148; Registro Insertado; pgsID:19707; Uid: 928342   
[2018-02-06 22:01:42] Files.DEBUG:  149; Registro Insertado; pgsID:19708; Uid: 928341   
[2018-02-06 22:01:43] Files.DEBUG:  150; Registro Insertado; pgsID:19709; Uid: 928340   
[2018-02-06 22:01:43] Files.DEBUG:  151; Registro Insertado; pgsID:19710; Uid: 928339   
[2018-02-06 22:01:43] Files.DEBUG:  152; Registro Insertado; pgsID:19711; Uid: 928337   
[2018-02-06 22:01:43] Files.DEBUG:  153; Registro Insertado; pgsID:19712; Uid: 928335   
[2018-02-06 22:01:43] Files.DEBUG:  154; Registro Insertado; pgsID:19713; Uid: 928333   
[2018-02-06 22:01:44] Files.DEBUG:  155; Registro Insertado; pgsID:19714; Uid: 928329   
[2018-02-06 22:01:44] Files.DEBUG:  156; Registro Insertado; pgsID:19715; Uid: 928328   
[2018-02-06 22:01:44] Files.DEBUG:  157; Registro Insertado; pgsID:19716; Uid: 928325   
[2018-02-06 22:01:44] Files.DEBUG:  158; Registro Insertado; pgsID:19717; Uid: 928324   
[2018-02-06 22:01:45] Files.DEBUG:  159; Registro Insertado; pgsID:19718; Uid: 928313   
[2018-02-06 22:01:45] Files.DEBUG:  160; Registro Insertado; pgsID:19719; Uid: 928311   
[2018-02-06 22:01:45] Files.DEBUG:  161; Registro Insertado; pgsID:19720; Uid: 928310   
[2018-02-06 22:01:45] Files.DEBUG:  162; Registro Insertado; pgsID:19721; Uid: 928309   
[2018-02-06 22:01:45] Files.DEBUG:  163; Registro Insertado; pgsID:19722; Uid: 928308   
[2018-02-06 22:01:46] Files.DEBUG:  164; Registro Insertado; pgsID:19723; Uid: 928307   
[2018-02-06 22:01:46] Files.DEBUG:  165; Registro Insertado; pgsID:19724; Uid: 928306   
[2018-02-06 22:01:46] Files.DEBUG:  166; Registro Insertado; pgsID:19725; Uid: 928305   
[2018-02-06 22:01:46] Files.DEBUG:  167; Registro Insertado; pgsID:19726; Uid: 928304   
[2018-02-06 22:01:46] Files.DEBUG:  168; Registro Insertado; pgsID:19727; Uid: 928303   
[2018-02-06 22:01:46] Files.DEBUG:  169; Registro Insertado; pgsID:19728; Uid: 928302   
[2018-02-06 22:01:46] Files.DEBUG:  170; Registro Insertado; pgsID:19729; Uid: 928301   
[2018-02-06 22:01:46] Files.DEBUG:  171; Registro Insertado; pgsID:19730; Uid: 928300   
[2018-02-06 22:01:46] Files.DEBUG:  172; Registro Insertado; pgsID:19731; Uid: 928299   
[2018-02-06 22:01:46] Files.DEBUG:  173; Registro Insertado; pgsID:19732; Uid: 928298   
[2018-02-06 22:01:46] Files.DEBUG:  174; Registro Insertado; pgsID:19733; Uid: 928297   
[2018-02-06 22:01:47] Files.DEBUG:  175; Registro Insertado; pgsID:19734; Uid: 928296   
[2018-02-06 22:01:47] Files.DEBUG:  176; Registro Insertado; pgsID:19735; Uid: 928295   
[2018-02-06 22:01:47] Files.DEBUG:  177; Registro Insertado; pgsID:19736; Uid: 928294   
[2018-02-06 22:01:47] Files.DEBUG:  178; Registro Insertado; pgsID:19737; Uid: 928293   
[2018-02-06 22:01:47] Files.DEBUG:  179; Registro Insertado; pgsID:19738; Uid: 928292   
[2018-02-06 22:01:47] Files.DEBUG:  180; Registro Insertado; pgsID:19739; Uid: 928291   
[2018-02-06 22:01:47] Files.DEBUG:  181; Registro Insertado; pgsID:19740; Uid: 928290   
[2018-02-06 22:01:47] Files.DEBUG:  182; Registro Insertado; pgsID:19741; Uid: 928289   
[2018-02-06 22:01:47] Files.DEBUG:  183; Registro Insertado; pgsID:19742; Uid: 928287   
[2018-02-06 22:01:48] Files.ERROR:  17; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928280   
[2018-02-06 22:01:48] Files.DEBUG:  184; Registro Insertado; pgsID:19743; Uid: 928277   
[2018-02-06 22:01:48] Files.ERROR:  18; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928276   
[2018-02-06 22:01:48] Files.DEBUG:  185; Registro Insertado; pgsID:19744; Uid: 928275   
[2018-02-06 22:01:49] Files.ERROR:  19; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928262   
[2018-02-06 22:01:50] Files.ERROR:  20; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928257   
[2018-02-06 22:01:50] Files.DEBUG:  186; Registro Insertado; pgsID:19745; Uid: 928248   
[2018-02-06 22:01:50] Files.DEBUG:  187; Registro Insertado; pgsID:19746; Uid: 928247   
[2018-02-06 22:01:52] Files.DEBUG:  188; Registro Insertado; pgsID:19747; Uid: 928212   
[2018-02-06 22:01:52] Files.DEBUG:  189; Registro Insertado; pgsID:19748; Uid: 928211   
[2018-02-06 22:01:52] Files.DEBUG:  190; Registro Insertado; pgsID:19749; Uid: 928210   
[2018-02-06 22:01:52] Files.DEBUG:  191; Registro Insertado; pgsID:19750; Uid: 928209   
[2018-02-06 22:01:53] Files.DEBUG:  192; Registro Insertado; pgsID:19751; Uid: 928204   
[2018-02-06 22:01:53] Files.ERROR:  21; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928199   
[2018-02-06 22:01:54] Files.DEBUG:  193; Registro Insertado; pgsID:19752; Uid: 928188   
[2018-02-06 22:01:54] Files.DEBUG:  194; Registro Insertado; pgsID:19753; Uid: 928183   
[2018-02-06 22:01:54] Files.DEBUG:  195; Registro Insertado; pgsID:19754; Uid: 928182   
[2018-02-06 22:01:54] Files.DEBUG:  196; Registro Insertado; pgsID:19755; Uid: 928181   
[2018-02-06 22:01:54] Files.DEBUG:  197; Registro Insertado; pgsID:19756; Uid: 928180   
[2018-02-06 22:01:54] Files.DEBUG:  198; Registro Insertado; pgsID:19757; Uid: 928179   
[2018-02-06 22:01:55] Files.DEBUG:  199; Registro Insertado; pgsID:19758; Uid: 928178   
[2018-02-06 22:01:55] Files.DEBUG:  200; Registro Insertado; pgsID:19759; Uid: 928177   
[2018-02-06 22:01:55] Files.DEBUG:  201; Registro Insertado; pgsID:19760; Uid: 928176   
[2018-02-06 22:01:55] Files.DEBUG:  202; Registro Insertado; pgsID:19761; Uid: 928175   
[2018-02-06 22:01:55] Files.DEBUG:  203; Registro Insertado; pgsID:19762; Uid: 928172   
[2018-02-06 22:01:55] Files.DEBUG:  204; Registro Insertado; pgsID:19763; Uid: 928171   
[2018-02-06 22:01:55] Files.DEBUG:  205; Registro Insertado; pgsID:19764; Uid: 928170   
[2018-02-06 22:01:56] Files.DEBUG:  206; Registro Insertado; pgsID:19765; Uid: 928165   
[2018-02-06 22:01:56] Files.DEBUG:  207; Registro Insertado; pgsID:19766; Uid: 928159   
[2018-02-06 22:01:56] Files.ERROR:  22; No se pudo insertar el registro; No existe el cliente en la BD; UID: 928158   
[2018-02-06 22:01:56] Files.DEBUG:  208; Registro Insertado; pgsID:19767; Uid: 928157   
[2018-02-06 22:01:56] Files.DEBUG:  209; Registro Insertado; pgsID:19768; Uid: 928156   
[2018-02-06 22:01:56] Files.DEBUG:  210; Registro Insertado; pgsID:19769; Uid: 928155   
[2018-02-06 22:01:56] Files.DEBUG:  211; Registro Insertado; pgsID:19770; Uid: 928154   
[2018-02-06 22:01:57] Files.DEBUG:  212; Registro Insertado; pgsID:19771; Uid: 928153   
[2018-02-06 22:01:57] Files.DEBUG:  213; Registro Insertado; pgsID:19772; Uid: 928152   
[2018-02-06 22:01:57] Files.DEBUG:  214; Registro Insertado; pgsID:19773; Uid: 928151   
[2018-02-06 22:01:57] Files.DEBUG:  215; Registro Insertado; pgsID:19774; Uid: 928150   
[2018-02-06 22:01:57] Files.DEBUG:  216; Registro Insertado; pgsID:19775; Uid: 928144   
[2018-02-06 22:01:57] Files.DEBUG:  217; Registro Insertado; pgsID:19776; Uid: 928143   
[2018-02-06 22:01:57] Files.DEBUG:  218; Registro Insertado; pgsID:19777; Uid: 928142   
[2018-02-06 22:01:58] Files.DEBUG:  219; Registro Insertado; pgsID:19778; Uid: 928140   
[2018-02-06 22:01:58] Files.DEBUG:  220; Registro Insertado; pgsID:19779; Uid: 928137   
[2018-02-06 22:01:58] Files.DEBUG:  221; Registro Insertado; pgsID:19780; Uid: 928135   
[2018-02-06 22:01:58] Files.DEBUG:  222; Registro Insertado; pgsID:19781; Uid: 928134   
[2018-02-06 22:01:58] Files.DEBUG:  223; Registro Insertado; pgsID:19782; Uid: 928133   
[2018-02-06 22:01:58] Files.DEBUG:  224; Registro Insertado; pgsID:19783; Uid: 928132   
[2018-02-06 22:01:58] Files.DEBUG:  225; Registro Insertado; pgsID:19784; Uid: 928131   
[2018-02-06 22:01:59] Files.DEBUG:  226; Registro Insertado; pgsID:19785; Uid: 928128   
[2018-02-06 22:01:59] Files.DEBUG:  227; Registro Insertado; pgsID:19786; Uid: 928127   
[2018-02-06 22:01:59] Files.DEBUG:  228; Registro Insertado; pgsID:19787; Uid: 928126   
[2018-02-06 22:01:59] Files.DEBUG:  229; Registro Insertado; pgsID:19788; Uid: 928122   
[2018-02-06 22:02:01] Files.DEBUG:  230; Registro Insertado; pgsID:19789; Uid: 928101   
[2018-02-06 22:02:01] Files.DEBUG:  231; Registro Insertado; pgsID:19790; Uid: 928093   
[2018-02-06 22:02:02] Files.DEBUG:  232; Registro Insertado; pgsID:19791; Uid: 928092   
[2018-02-06 22:02:02] Files.DEBUG:  233; Registro Insertado; pgsID:19792; Uid: 928091   
[2018-02-06 22:02:02] Files.DEBUG:  234; Registro Insertado; pgsID:19793; Uid: 928090   
[2018-02-06 22:02:02] Files.DEBUG:  235; Registro Insertado; pgsID:19794; Uid: 928089   
[2018-02-06 22:02:02] Files.DEBUG:  236; Registro Insertado; pgsID:19795; Uid: 928085   
[2018-02-06 22:02:02] Files.DEBUG:  237; Registro Insertado; pgsID:19796; Uid: 928084   
[2018-02-06 22:02:03] Files.DEBUG:  238; Registro Insertado; pgsID:19797; Uid: 928073   
[2018-02-06 22:02:03] Files.DEBUG:  239; Registro Insertado; pgsID:19798; Uid: 928069   
[2018-02-06 22:02:04] Files.DEBUG:  240; Registro Insertado; pgsID:19799; Uid: 928066   
[2018-02-06 22:02:04] Files.DEBUG:  241; Registro Insertado; pgsID:19800; Uid: 928065   
[2018-02-06 22:02:04] Files.DEBUG:  242; Registro Insertado; pgsID:19801; Uid: 928064   
[2018-02-06 22:02:05] Files.DEBUG:  243; Registro Insertado; pgsID:19802; Uid: 928053   
[2018-02-06 22:02:05] Files.DEBUG:  244; Registro Insertado; pgsID:19803; Uid: 928051   
[2018-02-06 22:02:05] Files.DEBUG:  245; Registro Insertado; pgsID:19804; Uid: 928048   
[2018-02-06 22:02:05] Files.ERROR:  23; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928044   
[2018-02-06 22:02:05] Files.DEBUG:  246; Registro Insertado; pgsID:19805; Uid: 928043   
